latitude,longitude,State,City,Population2012,12:00-1:00 AM,1:00-2:00_AM,2:00-3:00_AM,3:00-4:00_AM,4:00-5:00_AM,5:00-6:00_AM,6:00-7:00_AM,7:00-8:00_AM,8:00-9:00_AM,9:00-10:00_AM,10:00-11:00_AM,11:00-12:00_AM,12:00-1:00_PM,1:00-2:00_PM,2:00-3:00_PM,3:00-4:00_PM,4:00-5:00_PM,5:00-6:00_PM,6:00-7:00_PM,7:00-8:00_PM,8:00-9:00_PM,9:00-10:00_PM,10:00-11:00_PM,11:00-12:00_PM
38.80472,-77.04722,Virginia,Alexandria,143372,0,0,0,0,0,0,31,101,141,50,72,31,96,41,0,12,0,32,2,0,0,0,0,0
40.60833,-75.49056,Pennsylvania,Allentown,118058,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38.89028,-77.08444,Virginia,Arlington,215286,0,0,0,0,0,0,51,89,116,23,54,32,32,18,0,15,17,1,12,19,0,0,0,0
33.96083,-83.37806,Georgia,Athens,116511,0,0,0,0,0,0,35,76,63,0,76,0,2,59,0,0,7,37,0,0,0,0,0,0
33.74889,-84.38806,Georgia,Atlanta,432228,0,0,0,0,0,0,0,101,148,0,21,1,1,20,19,10,31,6,14,21,0,0,0,0
33.47083,-81.975,Georgia,Augusta,199331,0,0,0,0,0,0,1,23,22,47,0,0,0,15,1,15,57,0,0,16,7,0,0,0
39.29028,-76.6125,Maryland,Baltimore,624266,5,0,0,0,0,0,148,29,63,117,74,8,35,18,39,1,16,0,0,0,0,0,0,0
42.35833,-71.06028,Massachusetts,Boston,629339,0,0,0,0,0,66,49,258,352,120,156,85,106,119,101,74,74,162,3,0,1,0,0,0
27.9375,-82.28611,Florida,Brandon,104285,0,0,0,0,0,0,0,12,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0
41.16694,-73.20528,Connecticut,Bridgeport,143876,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42.88639,-78.87861,New York,Buffalo,261200,0,0,0,0,0,0,5,850,75,68,161,125,88,54,84,0,32,0,0,0,0,0,0,0
42.375,-71.10611,Massachusetts,Cambridge,106278,0,0,0,0,0,0,0,31,3,1,28,2,10,41,0,0,13,0,0,24,0,0,0,0
26.5625,-81.94972,Florida,Cape Coral,156486,0,0,0,0,0,0,0,0,0,0,5,0,3,40,6,20,2,0,0,0,0,0,0,0
35.79139,-78.78139,North Carolina,Cary,141913,0,0,0,0,0,0,0,61,24,3,33,0,4,0,0,0,14,0,0,0,0,0,0,0
32.77639,-79.93111,South Carolina,Charleston,123396,0,0,0,0,0,0,27,3,15,11,0,0,25,4,0,32,0,0,0,3,2,0,0,0
35.22694,-80.84333,North Carolina,Charlotte,753931,0,0,0,0,0,324,679,293,465,750,665,335,327,408,455,158,327,12,0,29,0,0,0,0
36.81889,-76.27528,Virginia,Chesapeake,224836,2,0,0,0,0,0,47,56,52,44,82,25,20,10,41,6,0,0,0,2,0,0,0,0
27.96556,-82.80028,Florida,Clearwater,107648,0,0,0,0,0,0,0,0,23,0,0,0,0,14,0,0,22,0,0,0,0,0,0,0
39.24028,-76.83972,Maryland,Columbia,100701,6,0,0,0,0,0,135,148,6,69,145,13,70,102,32,11,26,0,0,0,0,0,0,0
34.00056,-81.035,South Carolina,Columbia,132235,0,0,0,0,0,0,0,0,21,30,0,15,0,43,0,32,0,8,0,0,0,0,0,0
32.46083,-84.98778,Georgia,Columbus,193417,0,0,0,0,0,3,0,46,0,118,41,0,13,0,0,12,24,30,27,7,0,0,0,0
26.27083,-80.27083,Florida,Coral Springs,119700,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
35.99389,-78.89889,North Carolina,Durham,236828,0,0,0,0,0,0,0,43,150,17,33,0,0,20,0,16,0,0,0,0,0,0,0,0
42.12917,-80.08528,Pennsylvania,Erie,102106,0,0,0,0,0,0,0,7,0,0,0,20,4,14,0,0,0,0,0,0,0,0,0,0
35.0525,-78.87861,North Carolina,Fayetteville,205494,0,0,0,0,0,0,21,0,2,0,0,0,0,0,0,12,6,10,7,0,0,0,0,0
26.12194,-80.14361,Florida,Fort Lauderdale,164884,0,1,0,0,0,0,24,13,9,0,0,31,0,23,13,0,0,0,0,0,0,0,0,0
